a,b,c,d,e,f,g,h,i,j,k,l,m,n
55,4,15,10,0,8,4,4,0,0,0,10,39,0
56,4,15,10,2,1,5,4,0,0,0,35,39,1
19,0,2,8,4,0,1,2,1,0,0,40,39,0
74,5,9,13,2,1,5,4,0,0,0,6,39,1
18,4,11,9,4,8,3,4,0,0,0,40,39,0
39,4,15,10,0,7,1,4,1,0,0,40,39,0
33,2,2,8,4,7,1,4,1,0,0,36,39,0
28,4,9,13,4,1,1,4,0,0,0,40,39,0
38,4,11,9,0,8,1,4,0,0,0,40,39,0
53,1,15,10,0,1,1,4,0,0,0,40,39,0
44,6,2,8,2,4,0,4,1,0,0,55,39,1
32,2,11,9,4,14,1,0,1,0,0,40,39,0
58,4,9,13,2,10,0,4,1,0,1887,40,39,1
28,4,11,9,0,4,3,4,1,0,0,40,39,0
33,2,12,14,2,10,0,4,1,0,0,40,39,1
33,4,8,11,2,3,0,4,1,0,0,45,39,1
51,4,11,9,0,8,1,4,0,0,0,32,39,0
51,4,11,9,0,1,1,4,0,0,0,40,39,0
39,6,6,5,2,3,0,4,1,0,0,40,39,0
32,4,11,9,2,7,0,4,1,0,2002,66,39,0
45,4,9,13,0,1,4,4,0,0,0,45,39,0
19,4,15,10,4,1,3,4,1,0,0,20,39,0
52,0,7,12,2,0,5,4,0,0,0,20,39,1
21,4,11,9,4,8,3,4,1,0,0,40,26,0
76,4,11,9,2,10,0,4,1,0,0,20,39,0
46,2,15,10,2,8,0,4,1,0,0,40,39,0
27,4,15,10,4,1,1,2,0,0,0,40,39,0
51,4,11,9,5,3,1,4,1,0,0,60,39,0
19,4,11,9,4,1,3,4,0,0,0,20,39,0
30,7,8,11,4,10,1,4,0,0,0,40,39,0
46,4,11,9,2,1,5,4,0,0,0,12,39,1
68,4,15,10,2,3,0,4,1,0,1735,48,39,0
36,4,9,13,2,10,0,4,1,0,0,60,39,1
71,4,11,9,6,9,4,4,0,0,0,20,39,0
32,4,15,10,4,5,3,0,1,0,0,40,39,0
43,4,11,9,5,1,4,4,0,0,0,40,39,0
33,4,11,9,5,3,1,4,1,0,0,50,39,0
24,2,15,10,4,11,1,4,1,0,0,40,39,0
38,4,8,11,0,8,4,4,0,0,0,36,39,0
76,4,15,10,6,12,1,1,0,2062,0,37,39,0
35,6,11,9,4,8,4,4,0,0,0,5,2,0
23,4,9,13,4,12,3,4,1,0,0,40,39,0
46,2,15,10,2,6,0,4,1,0,0,40,39,0
44,5,15,10,2,4,0,4,1,0,0,50,39,1
17,0,0,6,4,0,3,4,1,0,0,10,31,0
30,4,11,9,2,8,2,4,0,0,0,40,39,0
51,4,11,9,0,8,4,4,0,0,0,15,39,0
18,6,1,7,4,5,3,4,1,0,0,24,39,0
23,4,0,6,4,3,3,4,1,0,0,18,39,0
53,1,12,14,2,4,0,4,1,0,0,40,39,1
25,4,15,10,4,1,2,4,0,0,0,40,39,0
44,4,12,14,2,4,0,2,1,0,1902,40,39,1
49,4,12,14,2,12,0,4,1,0,0,40,39,1
28,4,11,9,5,8,4,4,1,0,0,40,6,0
58,6,12,14,2,12,0,4,1,0,0,40,39,1
36,4,11,9,0,1,4,4,0,0,0,35,39,0
32,4,11,9,4,3,1,4,1,4787,0,40,39,1
26,4,9,13,2,10,5,4,0,0,0,40,39,1
25,4,11,9,2,5,0,4,1,0,0,50,39,0
19,4,0,6,4,8,2,4,0,34095,0,24,39,0
39,4,11,9,2,8,5,4,0,0,1902,40,33,1
44,4,11,9,4,1,3,4,0,0,0,40,39,0
32,4,11,9,2,7,0,4,1,0,0,42,39,0
57,4,11,9,5,12,4,4,0,0,0,40,39,0
64,4,6,5,2,8,5,2,0,0,0,40,39,0
46,2,12,14,4,10,1,4,0,0,1564,45,39,1
37,4,9,13,4,1,3,4,0,0,0,40,39,0
22,4,8,11,4,12,3,4,0,0,0,40,39,0
30,4,0,6,2,3,0,4,1,0,0,40,39,0
33,2,9,13,4,10,1,4,0,0,0,40,39,0
32,4,11,9,4,12,1,4,1,0,0,40,39,0
23,6,11,9,4,6,3,4,0,0,0,35,39,0
40,2,11,9,4,1,2,2,0,0,0,40,39,0
21,4,11,9,4,8,3,1,1,0,0,40,30,0
48,4,12,14,4,7,1,4,1,0,0,40,39,0
41,4,9,13,0,7,1,4,1,2354,0,40,39,0
37,4,0,6,2,5,0,4,1,0,0,40,39,0
30,2,12,14,4,10,1,4,0,0,0,45,39,0
49,4,9,13,2,10,5,4,0,0,0,50,39,1
38,7,15,10,0,4,4,4,0,0,0,40,39,0
61,4,9,13,6,7,4,1,0,0,0,40,0,0
44,4,4,3,2,7,0,4,1,0,0,32,26,0
62,6,9,13,2,12,0,4,1,0,0,40,39,1
47,4,11,9,2,7,5,4,0,0,0,40,4,0
35,4,8,11,0,3,1,4,1,0,0,50,39,0
44,7,9,13,4,5,1,4,1,0,0,40,39,0
30,7,9,13,4,4,3,4,0,0,0,40,39,0
28,6,11,9,4,3,3,4,1,0,0,45,39,0
57,4,11,9,2,8,5,2,0,0,0,50,39,0
26,7,9,13,4,4,1,4,1,0,0,40,39,0
38,4,8,11,2,6,0,4,1,0,0,48,39,1
44,6,15,10,0,7,1,4,1,0,0,40,39,0
35,4,5,4,2,12,0,4,1,0,0,40,39,0
40,7,12,14,2,10,0,4,1,0,0,58,39,0
50,6,15,10,2,10,0,4,1,0,0,25,39,0
37,5,11,9,2,3,0,4,1,0,0,60,39,1
26,4,9,13,2,13,5,4,0,4508,0,12,39,0
64,4,15,10,4,13,1,4,1,0,0,40,39,1
30,4,13,1,3,6,4,4,1,0,0,40,26,0
29,4,11,9,2,3,0,4,1,0,0,40,39,0
28,4,11,9,2,7,0,4,1,0,0,50,39,1
28,4,15,10,4,10,1,4,1,0,0,25,39,0
33,7,9,13,2,4,0,1,1,0,0,40,30,0
24,4,11,9,4,6,1,4,0,0,0,30,39,0
26,7,11,9,0,14,4,4,1,0,0,40,39,0
77,6,9,13,6,10,1,4,0,0,0,20,39,0
25,1,15,10,4,4,3,4,1,0,0,9,39,0
53,4,2,8,2,6,2,4,1,0,0,40,39,0
38,4,1,7,0,1,1,4,0,0,0,44,39,0
30,4,12,14,2,10,0,4,1,0,0,47,39,1
39,6,11,9,2,3,0,4,1,0,0,40,32,0
51,6,10,16,0,12,1,4,1,0,0,50,39,1
25,0,9,13,3,0,1,4,0,0,0,15,39,0
49,5,9,13,2,12,0,4,1,0,0,85,39,1
51,4,15,10,0,10,4,4,0,0,0,40,39,0
47,6,11,9,4,8,1,4,0,0,1876,48,39,0
36,4,6,5,4,5,4,2,0,0,0,40,39,0
62,4,3,2,2,9,5,2,0,0,0,30,39,0
40,6,12,14,0,10,1,4,0,0,2205,45,39,0
30,1,15,10,4,1,4,2,0,0,0,40,39,0
39,4,9,13,2,4,0,4,1,0,0,40,39,0
47,2,12,14,2,10,0,4,1,0,0,50,39,0
28,2,11,9,4,11,1,4,1,0,0,40,39,0
23,4,9,13,4,12,1,4,0,0,0,40,39,0
57,4,9,13,5,4,4,4,0,0,0,40,39,0
33,4,4,3,4,7,2,4,1,0,0,40,13,0
58,4,11,9,2,14,0,4,1,0,0,24,39,0
84,0,15,10,6,0,1,4,0,0,0,6,39,0
46,6,15,10,2,3,0,4,1,0,0,55,39,0
23,4,11,9,2,4,0,4,1,0,0,55,39,0
32,4,9,13,4,12,2,4,1,0,0,32,39,0
43,4,9,13,2,7,0,4,1,0,0,40,39,0
34,4,0,6,5,4,4,4,0,0,0,45,39,0
23,4,15,10,4,12,3,4,1,0,0,40,39,0
38,4,9,13,2,4,5,4,0,0,0,40,39,1
59,4,11,9,2,7,0,4,1,0,0,40,39,1
22,4,1,7,4,3,4,4,1,0,0,40,8,0
50,7,12,14,2,10,0,4,1,0,0,46,39,1
44,4,9,13,2,1,0,4,1,0,0,40,39,1
60,0,5,4,2,0,0,4,1,0,0,40,39,0
56,7,15,10,0,1,1,4,0,0,2339,40,39,0
36,4,11,9,0,7,1,4,1,2202,0,40,39,0
20,4,11,9,4,6,2,2,1,0,0,40,39,0
38,6,11,9,2,12,0,4,1,4508,0,55,39,0
29,4,11,9,5,12,1,4,1,0,0,50,39,0
32,7,7,12,2,10,0,4,1,0,0,20,39,0
36,4,15,10,0,4,4,4,0,0,0,35,39,0
19,7,7,12,4,1,3,4,0,0,0,18,39,0
37,7,11,9,0,8,4,4,0,0,0,40,39,0
22,4,9,13,4,4,3,4,0,0,0,15,39,0
42,4,9,13,2,12,0,4,1,0,0,45,39,1
22,4,15,10,4,1,3,4,1,0,0,20,39,0
35,5,9,13,2,10,0,4,1,7298,0,45,39,1
21,4,15,10,4,8,3,4,0,0,0,25,39,0
43,6,10,16,2,10,0,4,1,0,0,42,39,1
22,0,11,9,4,0,3,4,1,0,0,40,39,0
18,4,1,7,4,8,3,4,1,0,0,24,39,0
28,4,1,7,4,8,1,2,1,0,0,40,39,0
20,0,15,10,4,0,3,4,1,0,0,24,39,0
32,4,10,16,4,10,1,4,1,3325,0,45,39,0
49,2,1,7,0,8,3,4,0,0,0,60,39,0
38,2,15,10,2,1,5,4,0,0,0,40,39,0
21,4,11,9,4,7,3,4,1,0,0,40,39,0
22,4,0,6,4,12,3,4,1,0,0,15,39,0
34,2,12,14,2,10,5,4,0,7688,0,35,39,1
32,4,15,10,2,10,0,4,1,0,0,45,39,0
33,4,15,10,2,13,0,4,1,0,0,20,39,0
41,4,15,10,0,12,1,4,1,0,0,52,39,0
38,4,11,9,2,7,0,4,1,0,0,40,39,0
58,7,9,13,6,13,4,4,0,0,0,40,39,1
44,4,15,10,2,7,0,4,1,0,0,35,39,0
61,4,9,13,2,7,0,4,1,0,0,40,39,1
35,4,15,10,4,13,2,4,0,0,0,40,39,0
36,4,11,9,2,12,0,4,1,0,0,50,39,0
44,4,15,10,3,1,4,4,0,0,0,40,39,0
35,4,11,9,0,3,1,4,1,0,0,40,39,0
43,4,9,13,0,10,1,4,0,0,0,38,39,0
51,5,11,9,2,4,0,4,1,7688,0,50,39,1
23,4,11,9,4,5,1,4,1,0,0,53,39,0
59,4,11,9,2,8,0,4,1,0,0,40,39,0
18,4,11,9,4,8,3,4,0,0,0,12,26,0
23,4,15,10,4,7,3,4,0,0,0,15,11,0
24,4,11,9,4,13,4,4,0,1831,0,40,39,0
57,4,0,6,0,3,4,4,1,0,0,40,39,0
28,4,15,10,4,4,1,4,1,0,0,35,39,0
59,4,9,13,2,4,0,4,1,0,0,50,39,1
39,4,11,9,4,1,1,4,1,0,0,48,39,0
26,4,11,9,2,7,0,4,1,0,0,50,39,0
17,4,1,7,4,12,3,4,0,0,0,23,39,0
45,6,14,15,2,10,0,4,1,0,0,40,39,1
64,2,11,9,2,10,5,4,0,0,0,20,39,0
72,0,9,13,6,0,1,4,1,0,0,4,39,0
55,4,12,14,4,10,1,4,0,0,0,40,39,0
47,4,11,9,2,3,0,4,1,0,0,16,39,0
43,4,15,10,2,6,0,1,1,0,0,40,40,0
46,6,11,9,0,8,4,4,0,0,0,40,39,0
54,4,11,9,2,4,0,4,1,0,0,40,39,1
26,4,9,13,4,10,1,1,1,4650,0,40,40,0
28,7,9,13,4,10,1,4,0,0,1669,40,39,0
57,4,8,11,0,1,4,4,0,0,0,40,39,0
35,4,11,9,2,7,0,4,1,0,0,40,39,0
61,6,11,9,2,3,0,4,1,0,0,40,11,0
48,4,15,10,0,4,1,4,0,0,0,65,39,0
30,6,9,13,0,12,1,4,1,0,2444,55,39,1
70,6,8,11,2,5,0,4,1,0,0,40,39,0
30,2,6,5,0,5,4,4,0,0,0,40,26,0
34,4,11,9,4,4,1,4,0,0,0,40,39,0
26,4,9,13,4,4,1,4,0,0,0,40,39,0
41,6,2,8,0,3,4,4,1,0,0,40,39,0
19,4,15,10,4,6,1,4,1,0,0,30,39,0
59,4,11,9,2,7,0,2,1,0,0,40,39,0
48,4,9,13,2,8,5,4,0,0,1902,40,0,1
30,2,11,9,2,3,0,4,1,4386,0,70,11,1
52,4,11,9,2,3,0,4,1,0,0,32,39,0
43,4,9,13,0,12,4,4,0,0,0,50,39,0
51,7,9,13,2,10,0,2,1,0,0,40,39,1
25,4,15,10,4,1,3,2,0,0,0,40,0,0
31,4,15,10,2,5,0,4,1,0,0,40,39,0
19,4,11,9,4,3,3,4,0,0,0,40,39,0
29,4,8,11,4,1,1,4,1,0,0,70,39,0
40,4,11,9,2,3,0,4,1,0,0,45,39,0
40,4,8,11,2,1,0,4,1,0,0,40,39,0
45,4,1,7,4,3,1,4,1,0,0,40,33,0
58,7,11,9,4,1,1,4,1,0,1741,40,39,0
28,2,12,14,4,10,1,4,0,0,0,50,39,0
43,2,9,13,4,10,1,4,0,0,0,40,39,1
40,7,9,13,4,4,3,4,0,0,0,40,39,0
55,4,15,10,0,13,4,2,0,0,0,56,39,0
18,4,11,9,4,12,3,4,0,0,0,24,39,0
36,4,11,9,2,3,0,3,1,0,0,40,39,1
21,4,11,9,4,12,3,4,0,0,0,30,39,0
45,4,12,14,2,4,0,4,1,0,0,40,39,1
53,4,9,13,2,5,0,4,1,0,0,60,39,0
33,4,11,9,2,1,0,4,1,0,0,40,39,0
35,6,15,10,0,8,4,4,0,0,0,20,39,0
35,4,11,9,4,12,3,4,0,0,0,29,39,0
41,4,11,9,5,1,4,2,0,0,0,40,39,0
44,6,9,13,2,12,0,4,1,0,0,45,39,1
61,4,11,9,0,12,1,4,1,0,0,40,39,0
18,4,15,10,4,8,3,4,0,0,0,12,39,0
42,7,9,13,4,4,1,4,0,0,0,38,39,0
28,4,11,9,0,4,1,4,0,0,0,40,39,0
53,4,11,9,2,6,0,4,1,0,0,40,39,1
51,4,11,9,0,1,4,4,0,0,2339,40,39,0
32,4,9,13,4,10,1,2,0,0,0,40,39,0
35,4,11,9,2,6,0,4,1,0,0,40,39,0
44,4,9,13,0,7,4,4,0,0,0,56,39,0
25,0,7,12,4,0,3,4,1,0,0,20,39,0
38,7,9,13,4,10,1,4,0,0,0,40,39,0
28,7,9,13,2,11,0,4,1,0,0,50,39,1
36,4,11,9,4,7,2,2,0,0,0,40,39,0
40,7,9,13,0,1,2,2,0,0,0,32,39,0
37,4,8,11,0,12,1,4,0,0,0,40,39,0
18,4,1,7,4,8,3,4,0,0,0,20,39,0
51,4,15,10,0,12,4,2,0,0,0,50,39,0
42,4,15,10,4,12,1,4,1,0,0,80,39,1
41,4,8,11,0,1,3,4,0,0,0,40,5,0
45,0,11,9,4,0,2,4,1,0,0,25,39,0
32,7,9,13,2,1,0,4,1,0,0,38,39,1
24,4,15,10,4,7,3,4,1,0,0,40,39,0
63,4,0,6,6,7,1,4,0,0,0,20,39,0
67,5,15,10,2,12,0,4,1,20051,0,40,39,1
36,4,11,9,0,10,4,2,0,0,0,50,39,0
52,4,2,8,2,4,0,4,1,0,0,60,39,1
32,4,11,9,2,7,0,4,1,0,0,40,39,1
38,4,15,10,2,1,0,4,1,0,0,45,39,0
33,4,9,13,4,10,1,1,1,0,0,10,19,0
50,4,11,9,0,12,4,4,0,0,0,40,39,0
55,4,11,9,0,1,1,4,0,0,0,40,39,0
47,0,15,10,0,0,4,4,0,0,0,42,39,0
30,4,11,9,0,3,1,4,0,0,0,40,39,0
40,6,4,3,2,3,0,3,1,0,0,8,13,0
36,4,11,9,2,7,0,4,1,0,1887,40,39,1
50,4,3,2,3,8,1,4,1,0,0,40,26,0
45,4,9,13,2,3,0,4,1,7688,0,40,39,1
22,4,11,9,2,9,5,4,0,0,0,40,39,0
34,4,11,9,2,12,0,4,1,0,0,50,39,1
37,4,15,10,2,4,0,4,1,0,0,60,39,0
57,4,5,4,6,8,4,2,0,0,0,29,39,0
29,4,15,10,4,3,2,1,1,0,0,40,0,0
31,4,11,9,4,14,1,4,1,0,0,40,39,0
32,4,15,10,4,8,1,2,1,0,0,40,39,0
45,0,9,13,2,0,0,2,1,0,0,45,39,1
31,4,11,9,0,3,1,4,1,0,0,40,39,0
29,4,11,9,5,14,4,4,0,0,0,30,39,0
30,7,9,13,2,10,0,4,1,0,0,40,39,0
43,6,11,9,2,4,0,4,1,0,0,50,39,0
50,4,10,16,2,10,0,4,1,99999,0,50,39,1
37,2,9,13,0,10,2,4,0,0,0,60,39,0
59,2,12,14,5,10,3,2,0,0,0,35,39,0
18,2,11,9,4,1,3,4,0,0,0,40,39,0
25,4,9,13,4,8,3,4,1,0,0,43,39,0
36,4,15,10,2,3,0,4,1,0,0,52,6,0
17,4,0,6,4,12,3,4,0,594,0,12,39,0
55,2,11,9,2,3,0,4,1,4386,0,40,39,1
47,2,11,9,2,8,2,4,1,3908,0,40,39,0
17,0,0,6,4,0,3,4,0,0,0,16,39,0
18,4,15,10,4,8,3,4,1,0,0,30,39,0
46,1,15,10,2,1,0,4,1,0,0,80,39,1
31,4,11,9,4,3,2,2,1,0,0,40,39,0
61,4,11,9,2,7,0,4,1,0,0,40,39,0
28,4,13,1,4,5,1,4,1,0,0,38,26,0
43,1,9,13,2,10,0,4,1,0,0,40,39,1
26,4,9,13,4,4,1,4,0,0,0,50,39,0
32,4,11,9,2,14,0,4,1,0,0,40,39,0
52,1,11,9,2,11,0,4,1,0,0,40,39,0
55,4,12,14,4,10,1,4,0,0,0,40,39,0
67,4,11,9,6,1,4,4,0,6723,0,40,39,0
25,4,15,10,4,8,1,4,1,0,0,48,39,0
33,4,9,13,2,10,0,4,1,15024,0,50,39,1
29,4,7,12,4,4,2,4,0,0,0,38,39,0
20,4,15,10,4,9,3,4,0,0,0,40,39,0
58,0,15,10,2,0,5,4,0,0,0,40,39,0
56,0,9,13,4,0,4,4,0,0,0,20,39,0
37,4,15,10,2,14,0,4,1,0,0,45,0,1
36,4,5,4,0,12,1,3,0,0,0,35,39,0
21,5,15,10,4,5,3,4,1,0,0,60,39,0
26,4,11,9,4,8,1,2,0,0,0,16,39,0
81,0,3,2,6,0,1,4,1,0,0,30,39,0
52,4,7,12,4,7,3,1,1,0,0,40,39,0
48,4,11,9,2,10,0,4,1,7688,0,40,0,1
34,4,9,13,2,12,0,4,1,0,0,50,39,1
47,4,4,3,2,7,0,4,1,0,0,40,39,0
37,4,8,11,4,10,1,4,0,0,0,48,39,1
37,2,9,13,4,10,1,4,0,0,0,45,39,0
42,4,11,9,0,13,1,4,1,8614,0,40,26,1
23,4,15,10,4,6,3,4,0,0,0,25,39,0
37,4,11,9,4,14,1,4,1,0,0,50,39,0
45,4,10,16,2,10,0,4,1,0,0,40,39,1
28,1,15,10,4,13,4,0,0,0,0,40,39,0
89,4,9,13,2,12,0,4,1,0,0,40,39,0
54,2,12,14,0,10,4,2,0,0,0,37,39,1
23,4,15,10,4,1,3,4,1,0,0,24,39,0
20,0,4,3,4,0,1,4,1,0,0,25,26,0
50,0,11,9,5,0,4,1,0,0,0,40,30,0
35,4,11,9,4,7,1,4,0,0,0,40,39,0
37,4,11,9,2,6,0,4,1,0,0,40,39,0
31,1,11,9,4,1,1,4,0,0,0,40,39,0
24,4,9,13,4,13,3,4,1,0,0,42,39,0
52,4,15,10,4,7,1,4,1,0,0,40,39,0
18,0,11,9,4,0,3,4,1,0,0,30,39,0
35,4,11,9,2,12,0,4,1,0,0,40,39,0
51,4,12,14,2,4,0,4,1,0,2415,40,39,1
41,4,11,9,2,4,0,4,1,15024,0,65,39,1
57,7,15,10,2,1,5,4,0,0,0,40,39,1
22,4,11,9,4,12,3,3,1,0,0,40,39,0
37,4,9,13,2,5,0,4,1,0,0,45,39,0
74,4,11,9,6,1,1,4,1,0,2282,35,39,1
56,4,11,9,4,12,1,4,1,0,0,40,21,0
33,4,11,9,0,4,1,4,1,0,0,48,39,0
31,2,15,10,2,11,0,4,1,0,0,30,39,0
41,2,9,13,2,10,0,4,1,0,0,35,39,1
26,4,9,13,0,1,4,4,0,0,0,40,39,0
59,2,0,6,6,8,1,4,0,0,0,25,33,0
23,4,11,9,2,12,1,2,1,0,0,60,39,0
35,4,11,9,2,14,0,4,1,0,0,40,39,0
50,7,8,11,0,1,4,4,0,0,0,40,7,0
52,6,15,10,0,10,1,4,0,0,0,32,39,0
31,4,15,10,2,4,5,4,0,0,0,40,39,0
37,4,11,9,3,8,4,2,0,0,0,35,14,0
48,4,15,10,2,3,0,4,1,0,0,40,39,0
50,2,15,10,0,11,1,4,1,0,0,40,39,0
30,4,11,9,2,6,0,4,1,0,0,40,39,0
24,4,11,9,2,8,0,4,1,0,0,40,39,0
57,6,11,9,2,3,0,4,1,0,0,60,39,0
49,6,8,11,0,14,1,4,1,0,0,48,39,0
23,4,9,13,4,4,1,4,1,0,0,40,33,0
20,4,15,10,4,12,1,2,0,0,0,36,39,0
52,2,11,9,2,8,5,1,0,0,0,40,0,1
56,4,9,13,2,4,5,1,0,7688,0,50,39,1
57,1,12,14,0,4,1,4,0,0,0,60,39,1
20,4,15,10,4,11,3,4,1,0,0,40,39,0
43,4,11,9,5,3,1,4,1,0,0,35,39,0
41,5,14,15,2,10,0,1,1,99999,0,50,19,1
45,4,15,10,0,12,1,4,1,0,0,40,39,0
36,4,11,9,2,7,0,4,1,0,0,45,26,0
62,1,6,5,0,8,4,4,0,0,0,40,39,0
19,5,11,9,4,8,3,4,1,0,0,6,39,0
24,4,15,10,2,4,0,4,1,0,0,50,39,0
19,6,11,9,4,13,3,4,1,0,0,20,39,0
20,0,11,9,2,0,5,4,0,0,0,40,39,0
32,4,9,13,2,12,0,4,1,0,0,40,39,0
44,6,15,10,4,1,1,4,0,0,0,45,39,0
53,2,5,4,2,14,0,2,1,0,0,40,39,0
45,4,5,4,2,8,0,1,1,0,0,36,3,0
39,4,12,14,4,4,1,4,1,0,0,50,39,1
55,4,12,14,2,10,0,4,1,0,0,25,39,1
30,4,9,13,4,12,1,4,1,0,0,55,39,0
39,1,15,10,2,4,0,1,1,0,0,40,39,1
23,2,11,9,4,11,1,4,1,0,0,45,39,0
28,6,9,13,4,12,1,4,0,0,0,48,39,0
42,4,8,11,2,3,0,0,1,0,0,40,39,1
35,4,11,9,0,7,1,4,1,0,0,40,39,0
39,4,11,9,4,8,1,4,0,0,0,25,39,0
29,4,9,13,0,13,4,4,0,0,0,20,39,0
21,6,11,9,4,5,3,1,1,0,0,35,39,0
35,4,12,14,2,1,0,4,1,0,0,38,33,0
42,4,15,10,2,4,0,4,1,0,0,40,39,0
28,4,6,5,4,7,1,4,1,0,0,30,39,0
57,4,5,4,0,10,2,4,0,0,0,20,0,0
59,0,11,9,0,0,1,4,0,0,0,45,39,0
50,4,13,1,2,5,0,2,1,0,0,40,14,0
37,6,14,15,2,10,0,4,1,7688,0,50,39,1
20,4,11,9,4,7,2,4,1,0,0,40,39,0
46,6,15,10,2,4,5,4,0,0,0,50,39,0
28,4,15,10,4,13,4,4,0,0,0,40,39,0
32,4,15,10,5,8,1,4,0,0,0,38,39,0
20,4,6,5,4,14,4,4,1,0,0,35,39,0
38,2,9,13,2,11,0,4,1,0,0,40,39,0
36,4,9,13,4,10,1,4,0,0,0,45,11,0
30,4,12,14,4,10,1,4,0,0,0,16,39,0
35,4,12,14,4,4,1,4,0,0,0,45,39,1
30,7,12,14,0,10,1,0,1,0,0,50,39,0
56,4,6,5,0,11,1,4,1,0,0,40,39,0
30,4,6,5,3,5,1,4,1,0,0,40,26,0
64,4,3,2,2,7,0,4,1,0,0,40,5,0
21,0,15,10,4,0,3,4,0,0,0,20,39,0
17,0,0,6,4,0,3,4,1,0,0,35,39,0
49,4,11,9,2,3,5,2,0,0,0,40,39,0
37,4,9,13,2,10,0,4,1,0,0,40,0,1
52,0,9,13,6,0,1,4,0,0,0,8,39,0
55,4,11,9,2,8,2,4,0,0,0,33,39,0
24,4,1,7,4,12,3,2,0,0,0,20,39,0
23,4,11,9,0,12,1,4,0,0,0,30,39,0
31,4,15,10,4,1,4,2,0,0,0,39,39,0
17,0,0,6,4,0,3,4,1,0,0,14,39,0
50,4,11,9,0,6,1,4,1,0,1980,38,39,0
33,4,11,9,2,12,0,4,1,0,0,55,39,0
24,4,9,13,4,12,1,4,0,0,0,40,39,0
37,4,2,8,2,8,5,4,0,0,0,45,39,0
31,6,0,6,4,14,1,4,1,0,2205,60,39,0
77,0,15,10,2,0,0,4,1,0,0,8,39,0
21,4,9,13,4,1,3,2,0,0,0,38,39,0
18,4,15,10,4,12,3,4,1,0,0,10,39,0
25,4,11,9,4,3,3,4,1,0,0,40,39,0
57,4,8,11,6,3,1,2,1,0,0,40,0,0
25,4,15,10,4,10,4,4,0,0,0,60,39,0
62,6,15,10,6,4,1,4,0,0,0,20,39,0
35,4,8,11,2,13,0,4,1,7298,0,48,39,1
26,4,15,10,0,10,1,4,0,5060,0,40,39,0
47,4,11,9,4,8,1,2,1,0,0,40,39,0
25,4,7,12,4,4,1,4,0,0,0,40,39,0
33,4,8,11,4,10,1,4,0,0,0,40,39,0
28,4,9,13,4,6,3,4,1,0,0,40,39,0
42,6,14,15,2,10,0,4,1,0,0,40,39,1
50,4,12,14,2,4,0,4,1,0,0,40,39,1
61,4,3,2,2,6,0,4,1,0,0,40,26,0
50,4,11,9,2,7,0,4,1,0,0,40,39,0
23,0,11,9,4,0,1,4,1,0,0,40,39,0
27,0,15,10,4,0,4,4,0,0,0,25,39,0
51,4,11,9,2,12,0,4,1,0,1977,50,39,1
37,4,15,10,2,13,0,4,1,0,0,39,39,0
25,4,9,13,4,1,1,4,0,0,0,35,39,0
38,4,9,13,2,1,0,1,1,0,0,42,39,1
60,1,14,15,2,10,0,1,1,99999,0,60,30,1
66,0,11,9,2,0,0,4,1,0,0,50,39,0
74,4,15,10,2,12,0,4,1,6418,0,24,39,1
37,4,12,14,2,10,0,4,1,0,0,70,39,0
26,4,9,13,4,4,1,4,1,0,0,40,39,0
39,4,15,10,2,4,0,4,1,0,0,40,39,1
19,0,11,9,4,0,3,4,0,0,0,8,39,0
35,4,0,6,2,1,5,4,0,0,0,36,39,0
43,2,12,14,6,10,4,2,0,0,0,40,39,0
31,5,11,9,2,12,0,4,1,0,0,50,39,1
35,5,15,10,2,4,0,4,1,0,0,50,39,0
30,4,15,10,0,12,4,4,0,0,0,65,2,0
22,4,11,9,4,8,3,4,0,0,0,20,39,0
36,4,5,4,0,7,1,4,0,0,0,40,39,0
19,4,15,10,4,12,3,4,0,0,0,34,39,0
36,4,11,9,0,3,1,4,1,0,0,75,39,0
29,7,9,13,4,11,3,4,0,0,0,40,39,0
30,2,15,10,4,11,1,4,0,3325,0,40,39,0
31,4,11,9,2,1,5,4,0,0,0,40,39,0
27,4,11,9,4,12,3,2,1,0,0,40,39,0
44,0,8,11,2,0,0,1,1,0,2129,40,31,0
17,4,1,7,4,1,3,4,0,0,0,15,39,0
36,4,11,9,2,3,0,4,1,0,0,40,39,1
43,4,9,13,2,1,0,4,1,0,0,40,39,1
46,6,6,5,2,12,0,4,1,0,0,40,39,0
24,4,11,9,4,1,2,2,0,0,0,20,39,0
42,4,15,10,4,14,1,2,1,0,0,40,39,0
55,7,15,10,2,3,0,4,1,0,0,43,39,1
61,6,8,11,6,3,4,4,0,0,0,40,2,0
20,4,11,9,4,12,3,4,0,0,0,10,8,0
60,4,15,10,2,12,0,4,1,0,0,40,39,0
24,4,8,11,2,1,5,4,0,0,0,40,39,0
33,4,9,13,2,10,0,4,1,0,0,51,39,0
67,6,15,10,4,10,1,4,0,0,0,50,39,1
34,4,11,9,4,4,1,4,1,0,0,50,39,0
34,4,15,10,2,8,5,4,0,0,0,30,39,0
38,4,15,10,0,10,3,4,0,0,0,40,39,0
50,4,9,13,0,4,1,4,0,0,0,40,39,0
45,4,15,10,2,3,0,4,1,0,0,46,39,0
55,0,11,9,6,0,4,4,0,0,0,35,33,0
18,4,11,9,4,12,3,4,1,0,0,35,39,0
26,0,0,6,4,0,4,0,0,0,0,40,39,0
40,4,8,11,6,1,4,4,0,0,0,30,39,0
